,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3636.33219612041,3791.30379743597,3790.99882068137,3632.48427687385,3627.6531960921,3638.99731056297,3511.33988532686,3891.09582274621,4009.83834211899,4080.09787832172,3833.31831333643,3786.44998318469,3579.79536683809,3641.53298949257,3951.63242629094,4402.90087487337,4046.37127908996,3921.46444223763,3673.11724502672,3711.2732797399,3481.13693701603,3878.81320314471,3948.55344475159,4016.0268189666,3798.7276294932,3836.54308313524,3938.31905232885,3706.93063262487,3763.80480479659,3944.03863681167,3954.04294493102,4005.45874094852,3808.3612929702,4081.23069943981,4002.34055551225,4305.92857760482,3946.35405575509,3958.18238036974,3792.73837260204,3793.00867966664,3683.54710926108,3825.23492154573,3783.950350284,3712.36377803397,3623.30244243115,3689.13523546203,3497.00772083878,3533.34256084915,3606.44511596167,3691.63485637961,3700.46999186139,3568.42597155631
,2,3690.32075713143,3800.97252945599,3790.3621775844,3636.27112490405,3626.46833755866,3645.4939686052,3532.78520404052,3936.04986854913,4008.04875639849,4077.81648389889,3836.16078992955,3785.87408414417,3584.83720858568,3644.17286683032,3989.09953182861,4403.32104482176,4038.93050745128,3917.09590556774,3671.58783641679,3707.59272137361,3477.82088571562,3901.31770950601,3948.41472617756,4013.09475770832,3797.89179768106,3836.44862324417,3931.37105670378,3697.82622629662,3785.69020971235,3946.13494616977,3951.28759177113,4003.98816004094,3808.71444096651,4075.2672557915,4044.40898478163,4305.92464591132,3941.46410289201,3955.57457396815,3797.46812364138,3793.79257948737,3713.13534840067,3816.82617965771,3782.37729781741,3717.69052832543,3616.68314867116,3686.86251541413,3515.73616645472,3551.75388534251,3636.36224812521,3709.2850920561,3712.57966015933,3573.55828690978
,3,3724.53975099474,3804.94510973354,3791.730486224,3640.05871482101,3631.09536878731,3644.39918111072,3547.32938142488,3959.26743988671,4013.43289861217,4075.18551262222,3834.67753303765,3788.52220886471,3594.5678728003,3647.65957210238,4009.49021698345,4398.7217859137,4041.48916099699,3922.23686557058,3674.52519119178,3714.3502372115,3479.72680547279,3923.45422692938,3941.96561647927,4010.24495355152,3797.07453577082,3839.23423947839,3937.75772536649,3699.62112341162,3809.10581188805,3943.19730478775,3946.74723588659,4000.96381594169,3816.14230273738,4071.13487669121,4093.29218089393,4304.03504933723,3937.99788284799,3955.6900191469,3795.68272773413,3782.04406429234,3732.13073377749,3813.81959368104,3780.42553283576,3720.39742896304,3618.92301312668,3687.77314879507,3554.96754420791,3568.02253013551,3650.46325338564,3720.76391920061,3717.15831240052,3580.06594095679
,4,3735.30168128067,3811.55744249547,3790.87847677196,3636.92786754868,3626.71727439308,3649.97221092955,3554.14534354019,3979.34325190533,4009.17240395928,4075.20701957546,3833.69569118489,3792.80926220848,3595.52266365979,3654.15769530993,4030.87325311801,4399.46337703846,4038.17063920895,3920.03318513509,3673.24716290935,3716.12142315736,3483.33055283777,3936.72116364909,3941.44615134778,4005.58652638701,3799.05219246805,3837.97131702534,3932.94248393451,3696.54477840085,3838.83171677188,3942.4012167782,3946.9732281741,4000.75008317187,3825.69204609309,4072.24160836567,4119.53581222624,4300.44360331569,3939.6737142653,3957.46239148782,3796.90522064697,3794.27118743893,3747.85170904148,3816.52044065734,3781.58470452486,3725.95897060262,3619.66969362224,3685.14963151037,3545.39975981631,3574.35611401528,3653.74419646064,3726.65990120112,3716.39051898842,3587.95402995372
,5,3743.16631417826,3815.93464917828,3791.39717821957,3642.61740997954,3633.05227300354,3655.65316330303,3562.9937652724,3984.94138372702,4014.31876360217,4073.14474569832,3835.88038344084,3787.58512868995,3603.91693690116,3661.94992524133,4035.5116496477,4397.42874336879,4036.61296473261,3916.22156426141,3675.3986631693,3722.20368866638,3483.03691917615,3949.24152197067,3943.86616550466,4007.78926982081,3799.18443251526,3841.12147332266,3935.36620301177,3698.59080158886,3842.62369157825,3944.08127831032,3945.97731596569,4000.60323175039,3827.08893485533,4074.08382019208,4127.89598416239,4305.8137958138,3938.58043311965,3960.4675470816,3799.47534788036,3796.42131541911,3760.53835308349,3817.41394923547,3784.45264064511,3724.86696744741,3621.83252776853,3691.21836385029,3557.18211943023,3581.30895178759,3654.58274500735,3728.48792830922,3722.21803292386,3586.20942279913
,6,3748.82010785573,3816.7042569756,3790.69671444141,3642.63442083304,3635.34520276979,3659.41206322715,3568.84310565172,3992.76745257737,4009.99690109962,4075.5546518118,3835.98037560879,3791.40629649735,3604.86468404959,3666.62312526589,4046.38125304492,4396.04273874749,4041.90748160342,3917.95402521779,3677.01338724879,3722.6852149559,3482.95040646358,3957.43765737903,3944.52661834916,4008.68114293388,3799.12546572083,3843.31533221328,3933.21567120006,3701.46732776649,3864.78517614158,3941.57554714336,3943.75343707105,4001.40274166148,3829.84836643021,4072.65348438185,4133.75460751364,4306.05271173639,3941.49152742284,3962.31487476549,3803.65347917121,3802.76715478664,3772.11313727639,3813.79938377456,3787.5080269044,3729.04676087754,3620.71660900892,3695.64731840814,3567.83686315549,3588.61368475301,3655.25549397139,3731.62451548813,3727.1396722038,3592.53419240265
,7,3755.62255353334,3819.75366057532,3796.79531023777,3642.62007571736,3638.00621465297,3659.0187515886,3569.25130768274,3996.83406886999,4015.54052424264,4076.37816503629,3843.92088102365,3788.95788196862,3611.71940397283,3672.8444876406,4053.53625937948,4399.81699193437,4041.80281221707,3917.93255162225,3676.96991524012,3725.96775623019,3484.96738893713,3963.98895862961,3944.74939022034,4006.89449867392,3799.17233695748,3845.62207494332,3931.68055973105,3705.66957907329,3863.18987166991,3940.35865929149,3947.32435007795,4001.71093683344,3830.23647990506,4076.0524648599,4139.62767603796,4303.97827792441,3945.29861714964,3968.39353426973,3805.22455464648,3805.2529295676,3776.83010265365,3816.9345673732,3784.03583657361,3732.30841711669,3620.51566358162,3691.58254048507,3579.83654684093,3592.02269789132,3655.96061913507,3728.52674278217,3728.52826498325,3595.85588165829
,8,3759.97948656584,3825.95820338319,3799.52377347681,3646.79218069974,3637.87907577212,3660.46190368716,3575.08852853807,4004.13151680798,4014.96723914443,4078.95200917317,3843.2877198218,3792.38137431105,3618.32184948166,3676.28915986924,4057.79903412405,4396.79636237929,4043.15012727903,3921.25581257764,3676.87094678713,3731.0556039159,3487.43017291303,3971.17142935258,3947.81243788787,4007.30943733637,3805.0046970073,3844.1011250029,3938.17485081229,3711.18758818055,3864.7277976563,3949.84932733049,3944.79495373227,4004.83755704892,3833.44465773829,4080.59374636256,4140.71306853938,4303.57988820895,3940.47407592207,3964.45826340623,3810.68191935242,3807.9411388041,3781.21024210936,3819.70080553733,3790.637603859,3739.37785599719,3620.07207297985,3695.85092535819,3588.37140711801,3599.64569734629,3661.20858244475,3732.11043342007,3728.98401647436,3594.69180519553
,9,3763.65682923749,3826.50699244992,3800.57011306269,3648.89759770342,3638.16769057361,3663.3505640799,3574.69386045264,4003.68026942425,4019.90015082895,4074.67510456579,3844.05202703278,3801.60343379851,3624.9928017271,3683.74215519324,4059.48444724823,4401.30272641508,4041.81279002182,3921.32436881291,3678.5080765958,3731.47211427809,3485.16921200785,3972.68067209913,3945.80851827856,4006.2089144469,3804.2473215642,3846.86720240438,3932.16361983948,3717.23790066139,3867.60633531452,3943.70686804232,3947.29726983838,4003.58774038634,3834.28242215442,4080.49139836428,4145.42209925827,4308.3686850444,3941.16114255108,3971.90758625212,3822.6778088197,3811.87270474722,3784.95034693536,3820.74966208149,3790.1044348251,3745.95414255876,3631.96181450858,3695.5929194864,3593.18621324442,3601.94564931996,3656.8485438936,3733.50022921803,3728.99813549583,3595.28553632453
,10,3765.65496560722,3831.61416545413,3799.22335719213,3651.66989349905,3643.93575542666,3664.55393345379,3579.18188807734,4007.80030885608,4019.48744703329,4074.3682786003,3844.60634428712,3801.15609961903,3630.82878361459,3686.32687061119,4065.53582595115,4403.68955128395,4040.75597836011,3924.42004773206,3679.23770977406,3728.93103433948,3491.31258873855,3973.48460572964,3946.95863377449,4007.92614728733,3802.2130840265,3852.25973976164,3937.77987703445,3716.47282130293,3869.03071935447,3948.86437798446,3945.95204778673,4002.49322412265,3839.86161009845,4083.5095812842,4147.60014646411,4308.01708810915,3948.95342426469,3970.57508198442,3830.78235738862,3811.62865984227,3788.67685020067,3821.98198908711,3788.97160956615,3756.19475649488,3631.68689478062,3701.38462555195,3598.89447231696,3603.74100460085,3662.8499736572,3733.86055641388,3729.41847210725,3599.82793583147
,11,3768.40396490537,3833.64914383881,3800.22281355827,3653.97471826132,3645.33808157169,3665.65580465681,3578.63776003085,4007.87581619915,4023.53496175889,4076.14545515946,3844.467168965,3803.23254700786,3635.26101258707,3690.61504684667,4071.90663978832,4403.58973911833,4046.12474155822,3924.12697133033,3681.81574148457,3731.88487256398,3489.22508918957,3976.74615569636,3951.94893941192,4009.48908369268,3810.06330804308,3852.33393045694,3942.89307135555,3721.96025043827,3868.86748315544,3946.78346086206,3945.21695325947,4006.14934403568,3838.15387240954,4084.67709214776,4148.62232660022,4309.8833724303,3949.8051844552,3975.78147885887,3832.30624395173,3820.18180589,3791.35763025647,3828.44308354607,3796.55484928965,3759.63203435037,3634.85359240309,3701.54874017091,3599.94434059296,3601.74520201351,3660.58833182057,3734.00099851983,3738.22106178538,3600.14316327568
,12,3773.23418670947,3835.90695061612,3804.07152354986,3655.60026040523,3644.07704058971,3668.1440891687,3587.14191899311,4013.33267939532,4020.27459505821,4075.78862029657,3845.61504906272,3803.11214026784,3639.37438486772,3692.62887780743,4069.14747368099,4398.74504938415,4040.92499496113,3923.98139439004,3680.08341574094,3736.48083688283,3493.0692748603,3982.01582655218,3948.24466947801,4009.60475246131,3811.30485002299,3856.18560449573,3938.95053480164,3722.99924093843,3872.38961255307,3945.93835909123,3944.83489861712,4003.04087023922,3842.9441123802,4076.59175836827,4150.96237593451,4304.90470707696,3953.8514157024,3977.34440342748,3835.33519355915,3816.51546768852,3792.61914073755,3827.29155864153,3795.37707353177,3768.05336969964,3633.65181987173,3699.59076934305,3607.8846157901,3608.7376508543,3665.76193044672,3736.38059329077,3732.35874193885,3603.26312760082
,13,3778.53863453799,3840.32831246883,3806.60731825391,3657.57460821736,3649.27781055094,3674.79301393627,3587.54498779484,4017.93277879473,4025.23801024628,4076.20473885291,3850.14138122255,3806.86813008528,3638.34560768029,3698.17141887546,4072.81513268297,4401.25031064645,4045.37314399787,3928.1749764772,3686.98845871821,3738.32195327941,3498.51609441799,3977.77616536019,3953.49831790546,4004.34454695173,3813.39504157681,3855.33961820262,3940.15397990432,3719.9743970632,3871.17210849773,3948.39641268004,3944.64473053354,4004.4434609145,3843.36359704707,4081.95135804657,4152.20209940759,4307.32828561097,3950.92809061469,3983.01242033423,3835.08456184076,3821.70449214261,3795.70024484751,3831.48737477282,3793.2449735003,3773.66250456333,3640.35092011026,3706.47872293231,3609.40252153361,3607.15170847093,3669.5860442526,3737.62852597532,3737.74198598081,3605.97411161192
,14,3776.8694612616,3840.58193633857,3809.40930938649,3660.1077098487,3650.50667185526,3673.97345683436,3594.24120821924,4019.19565909804,4026.24133965229,4079.83508895909,3849.33751406537,3807.99641528755,3641.62044039041,3704.65047022294,4078.03599292864,4403.76460878135,4040.37684371777,3927.25983739067,3682.45227838192,3736.43944494335,3498.38201563595,3984.16076471043,3945.72344431908,4010.67373949817,3814.59861886928,3859.05545808291,3940.30176075143,3725.80582383761,3877.32459737287,3953.82945410026,3951.35636266097,4005.30778425963,3845.36945703737,4084.51830593115,4156.61549348285,4308.95786281384,3951.0744485416,3981.52640376204,3834.84857369951,3821.34946516783,3801.70324708736,3833.62988114385,3793.01904162024,3773.24790754261,3642.95160526763,3709.49879636928,3611.61471683532,3609.76783278206,3663.53854243934,3734.92699305453,3737.60793501477,3606.25276022647
,15,3778.87260373187,3843.29065844448,3807.26182823795,3660.57617948902,3647.32726692491,3677.17480103882,3602.22596164004,4022.41824966206,4025.18583457351,4077.8459978952,3853.36157230734,3809.74139112337,3639.65204692478,3712.49126134627,4076.75436739115,4404.8274057329,4043.47065722786,3927.75482766795,3685.97909564693,3742.86957028998,3505.50234871428,3980.59220753387,3953.26628625207,4011.98438180643,3816.11249981163,3857.01938602544,3944.23605854041,3728.33605916937,3870.90504497172,3950.31164655704,3946.92550211847,4003.42121430505,3849.53340012539,4085.75464006506,4156.79134233518,4309.57799632426,3957.49132244533,3981.55865086481,3841.29811052064,3826.26603223918,3801.44786330449,3834.18195118302,3796.26298403975,3780.51520216464,3643.77650238971,3709.51603175075,3614.04656299939,3608.76506334396,3668.1043872233,3736.76517456293,3741.93860282757,3608.243438823
,16,3777.21554847241,3845.38079591528,3811.54796902661,3663.18166012034,3655.48678828484,3677.09464351684,3605.2339120685,4024.18569884216,4028.74099423564,4077.18389411802,3853.48771143944,3808.60109381132,3641.05593392823,3710.70958801403,4077.99322233312,4404.11055831896,4043.07347140767,3931.23279738854,3685.84291223674,3743.81638416299,3504.95038765556,3983.00407063772,3948.62331064308,4011.0828442806,3819.72115179431,3859.40211838651,3946.35840138336,3726.79347564726,3876.08298932683,3950.76009796431,3948.70045080239,4007.71685138701,3849.36023983533,4085.62824588098,4159.96846139303,4308.60833482243,3956.75735712896,3985.7008301325,3841.50920264867,3828.67718930359,3802.48896877737,3834.64558783384,3801.14562489438,3777.46323832304,3647.86590544112,3710.67983732865,3614.67617619372,3612.02836973929,3667.3157837661,3738.66391853172,3744.42326038074,3610.92901013769
,17,3781.15161111099,3842.71012873219,3807.15738072324,3664.4614353387,3654.8646928686,3683.14949556919,3610.59323957655,4024.583168817,4033.32795946505,4080.71229454716,3853.66043479475,3810.37671665978,3639.5979687523,3724.6491572751,4075.79756765394,4405.94743515487,4039.31689866004,3933.41248462663,3689.86083662112,3744.40765473983,3510.46651865923,3987.37678334892,3952.61916690116,4012.8207605411,3816.80428780233,3860.36125087157,3944.79999884247,3728.21092861611,3873.50227268363,3953.64179049766,3950.28987136525,4008.86175543683,3853.33987743073,4091.93856429543,4163.48665515787,4311.04750716165,3958.44163728842,3987.15867896359,3839.45145287043,3832.75488111248,3806.52362561205,3832.10917314991,3799.99939796811,3777.56635692897,3645.86512016549,3711.77765061886,3622.00290269446,3610.55817337598,3666.06094313083,3740.07955188872,3744.5999641663,3615.15908903274
,18,3783.03505628459,3848.29556461485,3808.47379151899,3663.66386540979,3658.16797916372,3683.27821898335,3617.57999287224,4027.39588815598,4033.27549659975,4080.46769019303,3852.38208353382,3816.90995921952,3641.51886490489,3728.31284976783,4079.65578958201,4405.2599597424,4043.87514235539,3934.48069593062,3688.75180725719,3748.88093535122,3511.86714009278,3987.95393483574,3953.14478146599,4008.07294536036,3823.57167835696,3862.98431848911,3946.86191872919,3731.39350754969,3879.78800778999,3953.09328059132,3948.14068418216,4011.65028351568,3856.50742940176,4092.00965004952,4162.44231336197,4312.9047396906,3960.43219830996,3988.1350444753,3842.63330412709,3832.81458430395,3806.88109330336,3834.90131633173,3801.58954822806,3779.77042276544,3646.53938497476,3719.45005003065,3620.05767300866,3614.31894330992,3670.2825673758,3738.14329875107,3741.74467960769,3616.19082928355
,19,3786.22686168864,3851.84290288258,3809.52436469266,3672.02106862372,3656.91298287835,3684.78681480697,3619.44429389408,4028.62460416526,4036.02177915437,4081.46999588408,3856.32395694032,3811.49520356996,3646.61974841534,3734.8741644072,4083.6181090193,4404.33947283587,4045.52683018989,3932.04788131831,3690.01628707625,3745.76748775692,3512.91115052256,3989.95263117336,3953.58654802404,4010.7086999059,3822.64132735266,3861.93784595657,3945.96759435469,3731.31834492164,3877.73992325745,3954.0599410934,3946.26929832936,4009.07634123969,3855.32351052499,4096.05929721926,4165.73612626435,4316.52158252541,3964.17231511906,3993.29434986867,3842.83146171125,3834.77211033829,3806.29920153838,3835.23572416468,3800.46769744931,3781.6431538585,3650.15104433699,3721.70408686753,3622.3078634799,3616.66166510262,3667.93253351616,3738.95865707274,3741.83085958834,3618.30396954252
