Sample ID	User ID	Date	Time	ng/ul	A260	A280	260/280	260/230	Constant	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	Serial #	Config.	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350
HL1	 Default 	 5/7/2015 	 10:16 AM 	  39.16 	  0.979 	  0.515 	   1.90 	   1.70 	  40.00 	  230 	  0.576 	  0.016 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.093	1.038	0.961	0.882	0.817	0.724	0.690	0.641	0.606	0.594	0.576	0.560	0.550	0.539	0.521	0.520	0.523	0.535	0.564	0.598	0.637	0.659	0.690	0.717	0.747	0.779	0.802	0.819	0.842	0.855	0.868	0.890	0.914	0.928	0.944	0.956	0.957	0.980	0.985	0.985	0.979	0.971	0.968	0.959	0.947	0.923	0.899	0.875	0.865	0.841	0.818	0.798	0.767	0.743	0.716	0.692	0.651	0.614	0.587	0.546	0.515	0.494	0.451	0.417	0.399	0.365	0.336	0.318	0.278	0.251	0.221	0.203	0.177	0.154	0.139	0.118	0.102	0.095	0.082	0.069	0.052	0.044	0.038	0.032	0.030	0.022	0.019	0.016	0.016	0.013	0.014	0.011	0.013	0.016	0.016	0.013	0.012	0.016	0.012	0.012	0.010	0.011	0.011	0.015	0.013	0.012	0.013	0.012	0.013	0.007	0.007	0.004	0.005	0.006	0.005	0.003	0.004	0.007	0.006	0.002	0.000	-0.001	-0.005	-0.003	-0.003	-0.004	-0.003	0.001	0.002	0.001	-0.005
HL2	 Default 	 5/7/2015 	 10:17 AM 	 141.47 	  3.537 	  1.749 	   2.02 	   2.27 	  40.00 	  230 	  1.559 	  0.043 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	2.025	1.912	1.854	1.801	1.736	1.626	1.606	1.572	1.560	1.560	1.559	1.553	1.559	1.577	1.613	1.657	1.713	1.800	1.886	2.025	2.149	2.217	2.318	2.435	2.541	2.669	2.770	2.840	2.935	3.025	3.081	3.159	3.242	3.292	3.381	3.441	3.473	3.532	3.551	3.550	3.537	3.508	3.490	3.447	3.367	3.297	3.182	3.087	3.021	2.930	2.834	2.766	2.665	2.563	2.452	2.375	2.246	2.103	2.011	1.869	1.749	1.669	1.539	1.416	1.333	1.222	1.111	1.033	0.912	0.813	0.719	0.646	0.549	0.464	0.414	0.341	0.285	0.250	0.205	0.168	0.136	0.116	0.091	0.072	0.062	0.047	0.037	0.031	0.029	0.023	0.018	0.013	0.011	0.015	0.015	0.012	0.009	0.011	0.009	0.011	0.013	0.010	0.008	0.007	0.000	0.001	-0.001	-0.006	-0.008	-0.011	-0.014	-0.011	-0.008	-0.009	-0.004	-0.005	-0.004	0.001	0.002	-0.003	0.000	0.003	0.003	0.006	0.001	0.002	0.005	0.005	0.004	0.002	-0.003
HL3	 Default 	 5/7/2015 	 10:18 AM 	  58.05 	  1.451 	  0.716 	   2.03 	   2.19 	  40.00 	  230 	  0.664 	  0.024 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.904	0.834	0.826	0.791	0.747	0.699	0.691	0.676	0.664	0.666	0.664	0.663	0.656	0.667	0.685	0.710	0.731	0.760	0.793	0.851	0.914	0.940	0.987	1.033	1.082	1.129	1.171	1.200	1.237	1.270	1.287	1.316	1.348	1.370	1.407	1.422	1.429	1.448	1.458	1.453	1.451	1.435	1.425	1.408	1.377	1.345	1.298	1.255	1.235	1.202	1.168	1.139	1.096	1.058	1.012	0.985	0.923	0.867	0.824	0.769	0.716	0.686	0.634	0.581	0.547	0.495	0.452	0.420	0.374	0.335	0.293	0.268	0.235	0.209	0.188	0.156	0.133	0.116	0.101	0.082	0.065	0.054	0.046	0.037	0.035	0.024	0.020	0.015	0.016	0.016	0.016	0.016	0.019	0.023	0.020	0.018	0.012	0.014	0.009	0.006	0.005	0.006	0.007	0.011	0.011	0.012	0.015	0.011	0.010	0.010	0.007	0.008	0.009	0.007	0.009	0.004	0.006	0.007	0.008	0.003	0.000	0.002	0.000	0.005	0.004	0.007	0.003	0.004	0.007	0.007	0.000
HL4	 Default 	 5/7/2015 	 10:19 AM 	 119.39 	  2.985 	  1.504 	   1.98 	   2.27 	  40.00 	  230 	  1.314 	  0.064 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.665	1.555	1.497	1.429	1.410	1.362	1.351	1.323	1.316	1.316	1.314	1.329	1.328	1.351	1.379	1.420	1.463	1.547	1.624	1.733	1.842	1.898	1.987	2.085	2.175	2.280	2.369	2.422	2.506	2.576	2.621	2.688	2.757	2.804	2.871	2.912	2.931	2.984	3.000	2.996	2.985	2.963	2.948	2.916	2.851	2.784	2.692	2.609	2.562	2.485	2.409	2.351	2.259	2.174	2.085	2.018	1.907	1.793	1.715	1.605	1.504	1.444	1.340	1.233	1.163	1.061	0.965	0.896	0.796	0.715	0.625	0.570	0.495	0.428	0.385	0.321	0.273	0.242	0.207	0.176	0.144	0.125	0.103	0.081	0.072	0.057	0.046	0.037	0.033	0.031	0.027	0.028	0.030	0.036	0.035	0.030	0.025	0.025	0.023	0.019	0.021	0.018	0.018	0.020	0.017	0.016	0.015	0.006	0.006	0.002	0.000	-0.005	-0.001	-0.002	0.003	0.003	0.004	0.007	0.008	0.003	0.000	0.001	-0.003	-0.001	-0.006	-0.005	-0.005	-0.004	-0.001	-0.003	-0.010
HL5	 Default 	 5/7/2015 	 10:20 AM 	  64.32 	  1.608 	  0.805 	   2.00 	   2.20 	  40.00 	  230 	  0.732 	  0.053 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.028	0.965	0.920	0.863	0.842	0.777	0.768	0.737	0.731	0.740	0.732	0.735	0.735	0.744	0.761	0.783	0.797	0.833	0.882	0.947	1.005	1.033	1.078	1.129	1.182	1.240	1.284	1.315	1.354	1.394	1.419	1.454	1.493	1.516	1.551	1.566	1.587	1.615	1.618	1.615	1.608	1.592	1.585	1.568	1.530	1.492	1.446	1.402	1.374	1.338	1.299	1.268	1.218	1.177	1.128	1.094	1.033	0.969	0.920	0.860	0.805	0.767	0.716	0.659	0.617	0.564	0.516	0.478	0.422	0.380	0.335	0.304	0.265	0.226	0.204	0.174	0.152	0.134	0.115	0.099	0.088	0.079	0.066	0.055	0.052	0.040	0.034	0.026	0.024	0.023	0.021	0.020	0.018	0.020	0.019	0.016	0.012	0.010	0.008	0.007	0.007	0.004	0.004	0.007	0.007	0.009	0.009	0.006	0.007	0.007	0.002	0.007	0.008	0.009	0.014	0.010	0.008	0.015	0.010	0.005	0.000	-0.001	-0.003	-0.001	-0.003	-0.005	-0.004	-0.004	-0.006	-0.008	-0.011
HL6	 Default 	 5/7/2015 	 10:21 AM 	  78.93 	  1.973 	  0.976 	   2.02 	   2.22 	  40.00 	  230 	  0.890 	  0.033 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.347	1.202	1.152	1.080	0.994	0.936	0.902	0.886	0.879	0.888	0.890	0.892	0.896	0.903	0.920	0.942	0.977	1.017	1.072	1.151	1.234	1.279	1.348	1.410	1.467	1.541	1.601	1.639	1.687	1.734	1.762	1.808	1.856	1.881	1.919	1.947	1.955	1.979	1.988	1.984	1.973	1.961	1.949	1.920	1.883	1.840	1.773	1.718	1.686	1.637	1.587	1.550	1.491	1.441	1.381	1.340	1.264	1.180	1.123	1.048	0.976	0.930	0.856	0.790	0.747	0.691	0.630	0.586	0.521	0.467	0.409	0.368	0.313	0.272	0.246	0.206	0.176	0.157	0.134	0.114	0.093	0.080	0.067	0.055	0.049	0.039	0.037	0.030	0.030	0.027	0.024	0.023	0.021	0.022	0.018	0.014	0.006	0.009	0.005	0.006	0.010	0.009	0.012	0.016	0.016	0.019	0.021	0.014	0.016	0.011	0.010	0.010	0.007	0.004	0.010	0.006	0.008	0.010	0.005	0.001	0.000	-0.004	-0.009	-0.007	-0.009	-0.006	-0.005	-0.001	0.003	0.001	-0.003
HL7	 Default 	 5/7/2015 	 10:22 AM 	 115.35 	  2.884 	  1.419 	   2.03 	   2.30 	  40.00 	  230 	  1.251 	  0.049 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.597	1.500	1.443	1.416	1.352	1.293	1.294	1.270	1.258	1.252	1.251	1.252	1.254	1.270	1.299	1.340	1.396	1.468	1.545	1.658	1.770	1.828	1.912	2.006	2.090	2.199	2.285	2.336	2.408	2.478	2.521	2.584	2.652	2.686	2.752	2.802	2.837	2.880	2.898	2.893	2.884	2.866	2.852	2.815	2.751	2.692	2.598	2.521	2.468	2.391	2.315	2.261	2.174	2.093	2.002	1.936	1.829	1.714	1.635	1.519	1.419	1.355	1.250	1.154	1.090	0.998	0.905	0.841	0.742	0.662	0.581	0.520	0.441	0.370	0.330	0.271	0.224	0.198	0.162	0.128	0.102	0.087	0.068	0.051	0.044	0.022	0.016	0.008	0.006	0.001	-0.006	-0.006	0.000	0.006	0.005	0.005	0.002	0.003	0.003	0.001	0.003	0.001	-0.001	0.002	0.001	-0.001	0.000	-0.004	-0.007	-0.005	-0.007	-0.008	-0.007	-0.007	-0.003	-0.004	0.000	0.002	0.003	0.000	0.000	-0.003	-0.006	-0.004	-0.011	-0.012	-0.013	-0.012	-0.008	-0.008	-0.008
HL8	 Default 	 5/7/2015 	 10:23 AM 	  11.77 	  0.235 	  0.129 	   1.82 	   1.54 	  50.00 	  230 	  0.153 	  0.055 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.326	0.280	0.295	0.281	0.234	0.212	0.190	0.168	0.150	0.156	0.153	0.154	0.153	0.145	0.156	0.171	0.180	0.176	0.186	0.190	0.196	0.200	0.204	0.197	0.208	0.210	0.214	0.218	0.224	0.225	0.224	0.233	0.233	0.234	0.235	0.235	0.227	0.231	0.235	0.232	0.235	0.232	0.229	0.226	0.231	0.226	0.222	0.215	0.214	0.204	0.205	0.195	0.183	0.176	0.170	0.168	0.153	0.150	0.143	0.138	0.129	0.126	0.117	0.109	0.102	0.095	0.090	0.085	0.076	0.068	0.062	0.055	0.052	0.054	0.049	0.041	0.042	0.039	0.035	0.032	0.028	0.024	0.023	0.024	0.025	0.018	0.018	0.014	0.015	0.013	0.014	0.013	0.011	0.019	0.017	0.014	0.009	0.013	0.011	0.011	0.012	0.008	0.012	0.015	0.016	0.018	0.019	0.011	0.010	0.009	0.008	0.010	0.010	0.007	0.011	0.010	0.013	0.015	0.009	0.006	0.000	0.000	-0.004	-0.002	-0.005	-0.002	-0.004	-0.001	0.001	0.003	-0.005
HL9	 Default 	 5/7/2015 	 10:25 AM 	 172.45 	  3.449 	  1.726 	   2.00 	   2.31 	  50.00 	  230 	  1.495 	  0.043 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.863	1.731	1.651	1.653	1.600	1.529	1.522	1.508	1.493	1.498	1.495	1.489	1.495	1.522	1.555	1.589	1.648	1.728	1.818	1.966	2.106	2.170	2.270	2.385	2.494	2.626	2.728	2.793	2.875	2.968	3.021	3.103	3.174	3.222	3.309	3.364	3.395	3.439	3.456	3.455	3.449	3.427	3.401	3.357	3.285	3.212	3.112	3.019	2.951	2.859	2.775	2.712	2.605	2.507	2.397	2.321	2.202	2.066	1.966	1.839	1.726	1.646	1.529	1.409	1.325	1.213	1.103	1.018	0.902	0.804	0.704	0.634	0.542	0.462	0.409	0.340	0.282	0.249	0.208	0.170	0.138	0.116	0.097	0.078	0.071	0.053	0.042	0.028	0.027	0.020	0.011	0.009	0.005	0.009	0.007	0.008	0.006	0.005	0.003	0.004	0.004	0.000	0.000	-0.002	-0.005	-0.003	-0.004	-0.010	-0.010	-0.009	-0.011	-0.012	-0.012	-0.012	-0.004	-0.004	-0.003	-0.002	-0.004	-0.003	0.000	0.000	-0.003	-0.002	-0.007	-0.007	-0.008	-0.006	-0.004	-0.002	-0.006
HL10	 Default 	 5/7/2015 	 10:26 AM 	  96.08 	  1.922 	  0.966 	   1.99 	   2.20 	  50.00 	  230 	  0.875 	  0.029 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.125	1.055	1.036	0.980	0.942	0.913	0.906	0.884	0.869	0.876	0.875	0.880	0.876	0.887	0.897	0.920	0.952	0.991	1.037	1.113	1.186	1.229	1.291	1.349	1.412	1.477	1.536	1.568	1.621	1.665	1.690	1.735	1.777	1.808	1.853	1.881	1.897	1.919	1.936	1.930	1.922	1.907	1.898	1.876	1.835	1.799	1.736	1.687	1.652	1.608	1.558	1.520	1.466	1.414	1.355	1.311	1.237	1.158	1.102	1.032	0.966	0.924	0.855	0.788	0.740	0.681	0.618	0.572	0.505	0.453	0.396	0.356	0.310	0.264	0.238	0.200	0.166	0.148	0.128	0.108	0.088	0.077	0.061	0.050	0.046	0.033	0.029	0.021	0.020	0.018	0.014	0.012	0.014	0.017	0.012	0.014	0.009	0.010	0.008	0.005	0.007	0.004	0.003	0.006	0.004	0.005	0.008	0.003	0.000	0.001	0.001	0.002	0.003	0.004	0.007	0.006	0.007	0.007	0.005	0.002	0.000	0.000	-0.003	-0.002	-0.005	-0.003	-0.005	-0.003	0.002	0.004	0.004
HL11	 Default 	 5/7/2015 	 10:27 AM 	 192.30 	  3.846 	  1.951 	   1.97 	   2.28 	  50.00 	  230 	  1.689 	  0.081 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	2.063	2.009	1.919	1.869	1.794	1.737	1.723	1.703	1.688	1.687	1.689	1.699	1.700	1.726	1.766	1.814	1.880	1.979	2.070	2.220	2.366	2.437	2.547	2.677	2.791	2.934	3.048	3.119	3.217	3.315	3.373	3.455	3.546	3.598	3.681	3.734	3.774	3.826	3.862	3.858	3.846	3.819	3.799	3.747	3.673	3.589	3.463	3.350	3.281	3.185	3.085	3.015	2.904	2.800	2.680	2.599	2.464	2.320	2.221	2.082	1.951	1.866	1.727	1.591	1.502	1.378	1.254	1.166	1.032	0.924	0.816	0.740	0.638	0.545	0.486	0.405	0.342	0.304	0.258	0.218	0.182	0.158	0.131	0.107	0.095	0.074	0.060	0.041	0.039	0.032	0.023	0.023	0.023	0.027	0.027	0.027	0.019	0.024	0.022	0.015	0.014	0.008	0.007	0.005	-0.002	-0.004	-0.002	-0.005	-0.006	-0.008	-0.009	-0.009	-0.007	-0.006	-0.004	-0.003	-0.003	0.001	-0.001	0.000	0.000	-0.001	-0.004	-0.003	-0.006	-0.008	-0.008	-0.009	-0.008	-0.011	-0.015
HL12	 Default 	 5/7/2015 	 10:28 AM 	  58.12 	  1.162 	  0.584 	   1.99 	   2.15 	  50.00 	  230 	  0.542 	  0.047 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.751	0.658	0.621	0.598	0.571	0.547	0.553	0.543	0.528	0.539	0.542	0.535	0.543	0.550	0.549	0.562	0.576	0.600	0.637	0.692	0.736	0.753	0.786	0.819	0.861	0.898	0.929	0.952	0.979	1.003	1.015	1.049	1.067	1.087	1.115	1.125	1.132	1.157	1.172	1.164	1.162	1.143	1.138	1.127	1.104	1.075	1.040	1.011	0.991	0.968	0.944	0.920	0.884	0.852	0.822	0.794	0.748	0.704	0.668	0.623	0.584	0.561	0.514	0.477	0.447	0.405	0.372	0.345	0.303	0.267	0.233	0.205	0.176	0.146	0.130	0.107	0.090	0.081	0.067	0.059	0.048	0.043	0.035	0.028	0.029	0.018	0.014	0.009	0.012	0.014	0.011	0.009	0.010	0.014	0.012	0.011	0.004	0.004	0.006	0.003	0.003	0.002	0.005	0.005	0.005	0.006	0.008	0.005	0.005	0.003	0.003	0.004	0.003	0.005	0.007	0.003	0.005	0.010	0.005	0.003	0.000	-0.002	-0.005	0.000	-0.002	-0.001	0.002	0.002	0.003	-0.001	-0.007
HL13	 Default 	 5/7/2015 	 10:29 AM 	  43.74 	  0.875 	  0.451 	   1.94 	   2.08 	  50.00 	  230 	  0.421 	  0.015 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.797	0.691	0.642	0.579	0.531	0.471	0.459	0.444	0.433	0.427	0.421	0.417	0.412	0.415	0.415	0.431	0.435	0.461	0.494	0.528	0.562	0.574	0.599	0.620	0.646	0.677	0.698	0.715	0.736	0.756	0.764	0.784	0.806	0.815	0.829	0.843	0.849	0.865	0.880	0.877	0.875	0.867	0.861	0.853	0.840	0.826	0.800	0.779	0.770	0.755	0.734	0.715	0.689	0.667	0.640	0.620	0.581	0.542	0.517	0.482	0.451	0.430	0.392	0.361	0.339	0.308	0.282	0.265	0.231	0.209	0.187	0.171	0.151	0.131	0.120	0.102	0.090	0.082	0.069	0.061	0.053	0.048	0.038	0.033	0.033	0.023	0.018	0.011	0.010	0.012	0.012	0.015	0.015	0.025	0.025	0.025	0.022	0.023	0.021	0.017	0.016	0.013	0.015	0.012	0.014	0.015	0.015	0.008	0.008	0.007	0.008	0.008	0.009	0.009	0.014	0.012	0.011	0.015	0.007	0.003	0.000	0.000	-0.002	0.002	0.002	0.005	0.010	0.012	0.017	0.012	0.004
HL14	 Default 	 5/7/2015 	 10:30 AM 	 127.92 	  2.558 	  1.275 	   2.01 	   2.35 	  50.00 	  230 	  1.090 	  0.030 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.515	1.412	1.349	1.274	1.218	1.169	1.137	1.117	1.091	1.093	1.090	1.091	1.094	1.113	1.126	1.163	1.212	1.283	1.342	1.451	1.543	1.584	1.665	1.743	1.814	1.910	1.987	2.035	2.104	2.168	2.208	2.266	2.323	2.365	2.428	2.472	2.493	2.546	2.565	2.560	2.558	2.535	2.518	2.483	2.429	2.364	2.284	2.218	2.164	2.101	2.038	1.989	1.915	1.851	1.774	1.714	1.624	1.520	1.454	1.362	1.275	1.217	1.126	1.040	0.982	0.905	0.819	0.757	0.667	0.594	0.517	0.465	0.394	0.331	0.295	0.241	0.197	0.170	0.142	0.113	0.091	0.073	0.058	0.049	0.046	0.026	0.014	0.006	0.005	0.000	-0.005	-0.006	-0.005	0.004	0.006	0.006	0.008	0.009	0.006	0.000	-0.003	-0.005	-0.006	-0.007	-0.014	-0.015	-0.015	-0.017	-0.018	-0.020	-0.020	-0.021	-0.019	-0.017	-0.010	-0.009	-0.006	-0.002	-0.003	-0.002	0.000	-0.001	-0.002	0.000	-0.006	-0.009	-0.009	-0.007	-0.004	-0.005	-0.009
HL15	 Default 	 5/7/2015 	 10:31 AM 	  28.71 	  0.574 	  0.305 	   1.88 	   2.01 	  50.00 	  230 	  0.285 	  0.015 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.499	0.429	0.421	0.388	0.367	0.320	0.305	0.295	0.285	0.289	0.285	0.281	0.278	0.275	0.283	0.289	0.286	0.298	0.323	0.339	0.369	0.379	0.397	0.405	0.427	0.443	0.452	0.466	0.475	0.487	0.492	0.511	0.523	0.535	0.552	0.559	0.564	0.571	0.579	0.574	0.574	0.566	0.563	0.557	0.550	0.539	0.521	0.506	0.495	0.488	0.473	0.460	0.437	0.428	0.410	0.402	0.373	0.351	0.337	0.319	0.305	0.292	0.272	0.250	0.237	0.215	0.197	0.182	0.154	0.138	0.120	0.107	0.099	0.088	0.082	0.065	0.053	0.047	0.038	0.031	0.025	0.018	0.014	0.015	0.016	0.002	-0.002	-0.008	-0.012	-0.013	-0.015	-0.015	-0.015	-0.003	-0.002	-0.001	-0.001	0.004	0.002	-0.002	-0.002	-0.003	-0.004	-0.002	-0.006	-0.006	-0.006	-0.010	-0.008	-0.011	-0.011	-0.014	-0.009	-0.007	-0.002	-0.001	-0.001	0.004	0.003	0.002	0.000	-0.002	-0.006	-0.006	-0.009	-0.009	-0.010	-0.009	-0.008	-0.008	-0.013
HL16	 Default 	 5/7/2015 	 10:32 AM 	  98.46 	  1.969 	  0.978 	   2.01 	   2.30 	  50.00 	  230 	  0.858 	  0.012 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.140	1.049	0.999	0.972	0.918	0.893	0.869	0.860	0.845	0.850	0.858	0.856	0.859	0.863	0.890	0.915	0.953	1.005	1.058	1.137	1.212	1.253	1.312	1.367	1.424	1.499	1.556	1.594	1.643	1.687	1.717	1.768	1.812	1.836	1.887	1.917	1.928	1.962	1.975	1.975	1.969	1.954	1.942	1.922	1.881	1.839	1.777	1.718	1.677	1.632	1.582	1.541	1.481	1.426	1.365	1.323	1.250	1.165	1.112	1.039	0.978	0.933	0.868	0.801	0.758	0.693	0.629	0.586	0.519	0.461	0.401	0.361	0.306	0.261	0.232	0.188	0.157	0.139	0.114	0.095	0.077	0.063	0.053	0.040	0.036	0.021	0.014	0.005	0.003	0.000	-0.005	-0.006	-0.007	0.000	0.001	-0.001	-0.004	-0.001	-0.004	-0.004	-0.002	-0.004	-0.003	-0.001	-0.001	0.001	0.002	-0.002	-0.005	-0.005	-0.008	-0.010	-0.009	-0.006	-0.002	-0.002	0.000	0.003	0.003	0.003	0.000	0.002	-0.001	0.002	-0.004	-0.005	-0.005	-0.002	0.000	-0.003	-0.004
HL17	 Default 	 5/7/2015 	 10:33 AM 	  73.78 	  1.476 	  0.724 	   2.04 	   2.32 	  50.00 	  230 	  0.635 	  0.037 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.942	0.851	0.798	0.753	0.707	0.680	0.653	0.637	0.623	0.631	0.635	0.632	0.636	0.644	0.660	0.677	0.696	0.719	0.764	0.832	0.890	0.921	0.964	1.012	1.060	1.118	1.157	1.184	1.223	1.257	1.280	1.318	1.350	1.370	1.407	1.426	1.443	1.470	1.479	1.475	1.476	1.464	1.455	1.435	1.393	1.356	1.306	1.257	1.232	1.194	1.165	1.137	1.097	1.062	1.015	0.984	0.927	0.870	0.826	0.773	0.724	0.691	0.638	0.590	0.555	0.510	0.464	0.429	0.378	0.339	0.299	0.271	0.235	0.198	0.176	0.140	0.113	0.101	0.084	0.067	0.056	0.046	0.039	0.032	0.031	0.020	0.016	0.007	0.002	0.001	-0.003	-0.001	0.001	0.007	0.005	0.004	0.002	0.000	-0.002	-0.004	-0.004	-0.007	-0.006	-0.006	-0.006	-0.003	0.000	-0.007	-0.010	-0.010	-0.010	-0.008	-0.006	-0.006	-0.001	0.001	0.003	0.006	0.002	-0.001	0.000	-0.001	-0.005	-0.008	-0.012	-0.011	-0.010	-0.010	-0.008	-0.008	-0.011
HL18	 Default 	 5/7/2015 	 10:34 AM 	  66.94 	  1.339 	  0.668 	   2.00 	   2.22 	  50.00 	  230 	  0.604 	  0.044 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.806	0.778	0.714	0.685	0.665	0.623	0.620	0.615	0.612	0.609	0.604	0.598	0.603	0.617	0.622	0.640	0.663	0.699	0.740	0.786	0.827	0.852	0.896	0.931	0.969	1.013	1.049	1.077	1.116	1.145	1.161	1.197	1.225	1.245	1.277	1.297	1.302	1.325	1.336	1.335	1.339	1.325	1.314	1.297	1.277	1.244	1.197	1.154	1.130	1.098	1.070	1.042	0.998	0.967	0.928	0.901	0.853	0.803	0.765	0.713	0.668	0.640	0.589	0.539	0.507	0.461	0.416	0.388	0.344	0.308	0.272	0.245	0.214	0.186	0.170	0.141	0.116	0.105	0.085	0.071	0.054	0.046	0.038	0.032	0.033	0.024	0.023	0.016	0.019	0.018	0.016	0.015	0.014	0.017	0.015	0.016	0.010	0.012	0.009	0.009	0.008	0.006	0.005	0.004	0.002	0.004	0.004	-0.003	-0.004	-0.006	-0.006	-0.001	-0.002	-0.002	0.001	0.003	0.004	0.009	0.006	0.000	0.000	-0.002	-0.007	-0.004	-0.006	-0.003	-0.002	0.000	0.002	0.003	-0.004
HL19	 Default 	 5/7/2015 	 10:35 AM 	 287.52 	  5.750 	  2.813 	   2.04 	   2.34 	  50.00 	  230 	  2.453 	  0.019 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	2.956	2.837	2.750	2.672	2.553	2.469	2.468	2.455	2.444	2.443	2.453	2.478	2.500	2.548	2.623	2.683	2.798	2.951	3.092	3.329	3.536	3.654	3.818	4.022	4.183	4.389	4.560	4.665	4.805	4.949	5.041	5.156	5.291	5.377	5.500	5.595	5.658	5.737	5.775	5.774	5.750	5.704	5.665	5.589	5.463	5.344	5.147	4.992	4.888	4.735	4.586	4.470	4.289	4.122	3.938	3.808	3.601	3.372	3.221	3.008	2.813	2.688	2.487	2.289	2.157	1.980	1.799	1.673	1.490	1.327	1.169	1.056	0.900	0.762	0.677	0.562	0.469	0.416	0.346	0.287	0.233	0.198	0.158	0.121	0.104	0.077	0.054	0.038	0.030	0.024	0.018	0.016	0.014	0.021	0.021	0.018	0.015	0.018	0.013	0.008	0.007	0.004	0.003	0.003	0.003	0.005	0.006	0.002	-0.001	-0.002	0.000	-0.002	0.001	0.002	0.006	0.006	0.011	0.014	0.009	0.006	0.000	0.003	-0.003	-0.001	-0.004	-0.004	-0.003	-0.001	0.003	-0.003	-0.008
